arg1,arg2,word,sentence,verb_idx,label
крылатый,,ангел,3 4 213 Наконец в христианстве в образе крылатых ангелов уносящих душу мы имеем последние остатки этой веры 5 ,1 ,0
крылатый,,ангел,41 Зато Григорий праздновал великое событие молебствиями крестными ходами пальбой с крепости св Ангела иллюминацией Рима и наконец медалью с надписью Избиение гугенотов 40 ,2 ,0
крылатый,господень,ангел,4 Различия переводов или редакций икон внесли новые разности в списки Подлинников Так под 16 авг Перенесение от Едеса в Царьград Нерукотворенного Образа Иисуса Христа в кратких Подлинниках как в погодинском в и в моем описано только по одному переводу а именно Ангел Господень держит на убрусе Нерукотворенный Образ обеими руками против грудей на ангеле риза бакан испод лазорь В других списках как в Подлиннике Большакова с лицевыми изображеньями и в подробном филимоновском на первом плане редакция с царем Авгарем и при том в двух видах и п ,1 ,0
крылатый,,ангел,535 Победа подвижника заключается в том когда он предаст всего себя Богу и исполнением воли Его достигнет совершенства Тогда имя его будет внесено в книгу жизни Ангелы засвидетельствуют о нем что он избежал князей воздушных и сопричислится он к небесным блаженным духам Но доколе продолжается борьба дотоле человек находится в страхе и трепете ,3 ,1
крылатый,,ангел,5 36 И по сему-то нарицается Пастырь свет языков Ангел завета Посланник мира Благовестник Законодатель Во вторых чтоб определять и сохранять служение Евангелия показывать и посылать Пророков Апостолов и учит ,1 ,0
святой,дружеский,ангел,555 У Якова Бема сказано У святых ангелов есть дружеское лобзание и обнимание и приятнейшая круговая пляска Сравн ,1 ,0
другой,который,ангел,57 как бы загляделся на себя и воскликнул зачем мне больше Я обладаю всем о чем только можно мечтать я сияю Божественным светом я Божественный свет в этом мироздании вместе с другими ангелами которые выросли в мою меру Зачем нам Бог когда мы сами сияем тем же светом ,1 ,0
другой,обнажённый,ангел,5 Великую силу имеет тот кто подвизается в течение всей жизни и ежедневно до последнего издыхания находится в осторожности от искусителя которым преследуется Я молил Бога чтоб Он показал мне ополчение окружающее и защищающее монаха и увидел монаха окруженного светильниками множество Ангелов с обнаженными мечами в руках охраняли его как зеницу ока и вот голос с неба говорящий не допустите ему покоя доколе праведный живет в сем мире Увидев такое ополчение отовсюду объемлющее монаха я вздохнул и сказал сам себе о Антоний все это дано мон ,1 ,0
другой,,ангел,5 звезд 953 42 06 953 33 28 Аврора 795 37 95 Америка-Синема 941 86 41 941 87 47 941 88 95 Байконур 404 51 19 404 51 19 Будапешт 405 99 33 Варшава 150 42 27 150 44 81 Высота 172 78 51 Горизонт 795 37 95 Каро Фильм 795 37 95 Каро Фильм 2 795 37 95 Киргизия 301 42 46 Ленинград 795 37 95 Матрица 926 59 39 Мечта 795 37 95 Орбита 115 65 80 Прага 795 37 95 Солнцево 795 37 95 Стрела 795 37 95 Формула кино 795 37 95 Экран 795 37 95 АНГЕЛ МЕСТИ США Мартин Берк ,1 ,0
государский,,ангел,5 Когда от надзирателя или шихтмейстера подано будет письмо что работникам кому колико надлежит за работу заплатить оное тебе освидетельствовать и правой ярлык закрепя отдать казначею по которому он выдаст и в росход запишет 6 Понеже здешней народ безмерным леностям подвержен который ради не токмо определенными недельми и господскими празниками довольствуются но и еще многие от обычая и лености празнования умыслили того ради кроме недель господских празников и государских ангелов с работ не спущать о чем особливой указ от государственной коллегии объявлен будет о гулящих днях и часах Глава седьмая ,1 ,0
государский,открытый,ангел,6 2 3 Эта же дивная картина восхваления Творца множеством Ангелов открыта была и тайнозрителю Апостолу и евангелисту Иоанну Богослову Он видел Господа сидящего на Престоле Небесном ,1 ,0
государский,,ангел,6 Вот ангел мой Машенька говорила Марья Ивановна садясь за карточный стол через неделю или больше после дядиного отъезда теперь у нас опять женский монастырь Шутила-то наш уехал ,3 ,1
государский,,ангел,7 21.06 2002 1 Олигархи в роли ангелов 8.06 2002 Мэлор СТУРУА Капитаны американского бизнеса которые помогают нуждающимся в срочном лечении вызывают уважение ,1 ,0
государский,,ангел,79 со апостолы же и святители и со ангелы ликовствуя Святей Троице предстоиши 80 ,1 ,0
государский,весь,ангел,7 Если бы возможно было при пришествии Господа после общего воскресения уничтожиться от страха душам человеческим то весь мир вымер бы по причине ужаса и трепета Точно каково увидеть небеса разверзающимися являющегося прогневанного негодующего Бога бесчисленное воинство Ангелов и весь воедино собранный род человеческий По этой причине мы должны проводить жительство с тщательнейшим бодрствованием над собою как долженствующие дать отчет Богу в каждом движении нашем ,1 ,0
государский,низкий,ангел,7 Как гром разнеслось по дому ужасное известие сегодня ночью перед крыльцом васильцевской усадьбы снова остановилась почтовая телега с жандармским полковником и двумя ангелами более низкого чина Полковник показал Васильцеву бумагу снабженную казенным штемпелем и казенной печатью ,1 ,0
добрый,злой,ангел,7 Кто-то сказал мне что в каждом человеке есть много и очень хорошего братского любовного и много очень дурного жестокого небратского нелюбовного и что потому как он расположен один и тот же человек бывает иногда добрым как ангел а иногда злым как черт И это совершенная правда ,3 ,1
добрый,,ангел,9 Другие 10 Четвертый ангел Источник для обзора Пурпурный легион на Новокузнецкой ,1 ,0
добрый,,ангел,1948 Д Ангелов Богомиството в България ,2 ,0
добрый,,ангел,шибает от колесных колпаков с инициалами в которых одна словно тень вылезает из-под другой Аромат разливается в сыром воздухе московской оттепели от радиаторной решетки ампирным домиком и серебряной женщины над нею закинувшей назад крылья словно ангел делающий зарядку А изнутри это похоже на что угодно только не на автомобиль ,1 ,0
никакой,,ангел,Четвертый день уже пребывал я в этом обществе но никакой ангел еще не приходил возмутить воду в сей купели Силоамской Наконец 17 го сентября в третьем часу дня меня вызвали и повели через двор в главное здание ,1 ,0
никакой,,ангел,Мир с своими недостатками превосходнее нежели царство ангелов воли лишенных Сott ,1 ,0
никакой,,ангел,33 р п 125 Познанием священной иерархии ангелов и завершается содержание а Источником для познания всего что объемлется понятием а является св Писание промысла и суда проявляющиеся в мире разумных существ люди и ангелы нашли в нем себе внешнее выражение 23 91 700А 515 р п 175 они скрываются в таинственном его смысле ,1 ,0
никакой,,ангел,довольно величествен ибо возвышается над ступенями наружного входа с фронтоном коринфского ордена но внутренность храма не поражает взора и не вселяет того благоговения с коим должно входить в здания сего рода Некоторые украшения как например улетающий ангел на толстых массивных облаках не отвечает и дее которую он должен выражать не отвечает характеру посланника возвещавшего Марии благодать ,2 ,0
никакой,,ангел,Я люблю и уважаю этого ангела по-прежнему именно по-прежнему но мне кажется они ждали меня обе единственно чтобы кое-что выведать то есть попросту вытянуть из меня а там и ступай себе с богом Это так ,3 ,1
божий,святой,ангел,и указывают на то что эпилептики нередко имеют галлюцинации религиозного содержания и приводят тому примеры Больные видят Бога Матерь Божию ангелов святых и проч ведут с ними речи получают приказания и т д Эти галлюцинации могут появляться то в послеэпилептическом состоянии то взамен приступа в виде его эквивалента Гораздо однако сложнее и интереснее проявление религиозного экстаза ,1 ,0
свой,,ангел,Впрочем у древних празднуемый при рождении назывался то-есть от того что такой по их мнению при всякого рождении рождался на охранение жизни рожденного и которого язычники во всем не инако понимали как православные своего ангела хранителя что явствует из стихов греческого комика Менандра ,1 ,0
маленький,,ангел,тоже как казалось страстно любила мальчика и княжна Марья часто лишая себя уступала своей подруге на слаждение нянчить маленького ангела как называла она племянника и играть с ним У алтаря лысогорской церкви была часовня над могилой маленькой княгини и в часовне был поставлен привезенный из Италии мраморный памятник изображавший ангела расправившего крылья и готовящегося подняться на небо ,2 ,0
маленький,,ангел,от Неlenere Ангел Шлессер и его концепция простоты Ангел Шлессер испанский дизайнер создатель одежды прекрасно совместимой с жизнью ,1 ,0
маленький,,ангел,Наnsen 100 результат не ангел 2005.01 07 11 32 ,2 ,0
маленький,,ангел,14 На третью ночь снова явился Ангел и удостоверив о себе Амфилохия славословием Бога нетерпимым духами отверженными взял старца за руку вывел из келий привел к церкви находившейся вблизи Двери церковныя отворились сами собою ,1 ,0
маленький,,ангел,о Вире см прим к гл 6 Рассказ Ренаты о явлении ей в детстве ангела Мадиэля принадлежит к числу типических рассказов такого рода Ср напр рассказ Мадлэны де Ла-Круа сожжённой в 1546 г который приведён в книге ,1 ,0
никакой,,ангел,века потребовали убрать слова ангел нимб и мадонна как выражающие религиозную сущность Никаких ангелов И не только ангелы ,2 ,0
никакой,,ангел,Приснился ему сон с огненным лицом огненными крыльями в блистающих ризах Жена на серповидной луне среди облаков под седмистолпным киворием с надписью Премудрость созда себе дом пророки святители праотцы дориносящие ангелы архангелы Силы Престолы Господствия Власти окружали Ее и в сонме пророков у самого подножия Премудрости Иоанн Предтеча с такими же тонкими руками и ногами длинными как у журавля с такими же белыми исполинскими крыльями как на иконе но с другим лицом по оголенному лбу с упрямыми морщинами по щетинистым бровям длинно й седой бороде и седым волосам узнал Евтихий запечатлевшееся в памяти его лицо старика похожего на Илью пророка который два года назад приходил к нему в мастерскую лицо Леонардо да Винчи изобретателя человеческих крыльев ,1 ,0
твой,,ангел,А бабушка пила и приговаривала Ты без меня будешь скучать но я останусь с тобой как твой ангел Евгения оглянулась по сторонам и так как вокруг никого не было вслух попросила ,1 ,0
твой,,ангел,Аб бат очень остроумно подсмеивается например над неаполитанскими проповедниками приводя в пример анализ одной проповеди какого-то отца Джузеппе Фуриа на тему что целомудрие равняет человека с ангелами Вся проповедь говорит аббат Мигнон была чисто в аскетическом духе отец Фуриа не делал ни малейшего применения к общественной жизни ни малейшей уступки даже супружеским отношениям он требовал чистейшего целомудрия и рассыпался для него в самых ярких метафорах и благоуханных фразах с весьма патетическими жестами по обыкновению ,3 ,1
святой,облечённый,ангел,Авва Исидор опять говорит ему Посмотри на восток Авва Моисей взглянул и увидел бесчисленное множество святых ангелов облеченных славою Тогда сказал ему авва Исидор Вот те которых посылает Господь на помощь святым а те которые на западе воздвигают брань против нас ,1 ,0
святой,,ангел,А ведь арх ангел не может спуститься на землю если мы не можем и не хотим слушать его трубу Один Иван ясностью своей разрушает эту возможность ,2 ,0
святой,,ангел,А ведь каким тихоней прикидывался он когда ухаживал за мной Я думала что это ангел а не человек А вы хотели чтоб ему понравилось то письмо которое выпало из кармана спросил я Хотели чтоб он расхохотался ,3 ,1
святой,,ангел,А в комнате на ул Котэ Месхи над обеденным столом крутился вентилятор Это по-нашему вентилятор а по Сергею ангел Под этой вертушкой как-то примостился пупсик детский голыш в прелестной юбочке ,3 ,1
святой,,ангел,авления народ по временам вскрикивает Гуссейн Гассан и фанатики бьют себя ладонью в открытую грудь по временам играет печальная музыка состоящая из двух рожков и двух небольших барабанов делается несколько выходов со свечами подносами и проч все это имеет вид чего-то религиозного Наконец изображается место убиения Имама и детей его над трупами носятся ангелы вокруг на траве играют кролики тут же голуби вьют гнезда птички порхают словом здесь выражается мысль смерти праведников под сень гробницы его спешат приютиться самые невинные живот ные находя там убежище безопасности и мира ,2 ,0
святой,,ангел,А внизу камни Ангела выбралась тяжеловато а впереди еще камин Хм ,2 ,0
святой,,ангел,А возле престола три ангела летали А возле престола три ангела летали И все с херувимами Христа воспевали ,1 ,0
святой,,ангел,А вокруг беседки берёзы да какие На вершинах их ангелы отдыхают когда в раю жарко и скучно Впрочем там всегда скучно ,1 ,0
светлый,божий,ангел,А вон дядя Яков поёт Светлы ангелы божии чины А чиновники холопи сатаны ,1 ,0
светлый,,ангел,А вот время меняется в том числе и потому что создаются книги фильмы спектакли указывающие на наши недостатки просчеты ошибки Конечно наивно думать что мещане бюрократы чинуши взяточники дельцы хапуги посмотрят Гараж и исправятся станут ангелами и вернут награбленное Но думаю подобные фильмы пьесы книги помогут другим ,3 ,1
ваш,,ангел,А вот и дорогая именинница наша Поздравляю вас с днем вашего ангела Софья Михайловна ,3 ,1
ваш,,ангел,А впрочем ступай доберись там до правды да и приди рассказать все же идти на тот свет будет легче коли наверно знаешь что там такое Да и приличнее тебе будет у монахов чем у меня с пьяным старикашкой да с девчонками хоть до тебя как до ангела ничего не коснется Ну авось и там до тебя ничего не коснется вот ведь я почему м дозволяю тебе что на ,3 ,1
ваш,,ангел,А впрочем Ять и не задумывался особенно как он будет ТАМ Он радовался только что не будет больше ЗДЕСЬ Чарнолуский великодушно подаривший ему право на жизнь и снявший грех с души представлялся ангелом Он прошел в петроградскую службу учета трудящихся где ему должны были выдать абсурдную справку о том что он не является ценным работником там над ним долго смеялись обычно приходили вымаливать справку ровно противоположного содержания чтобы избавиться от уплотнения или спасти хоть часть мебели ,1 ,0
ваш,,ангел,Автобус тронулся Прощай мой черный ангел Прощайте мои напрасные страдания ,3 ,1
ваш,,ангел,а В том что фигура не имеет никаких подпорок мог убедиться всякий желающий Когда посетители вступали на площадку ангел поднимал руки подносил ко рту валторну и играл на ней шевеля пальцами самым естественным образом Десять лет говорил Гамулецкий я трудился чтобы найти точку и вес магнита и железа дабы удержать ангела в воздухе ,3 ,1
ваш,свой,ангел,А вы болезнями страждущие и в сем пристанище призираемые сносите посещение Божие с великодушием и терпением приносите Богу благодарственныя молитвы о целости здравия Великаго Благотворителя Вашего чрез всю жизнь вашу а притом по излечении помните что и вам якоже ныне разслабленному глаголет Бог Се здрав был еси ктому не согрешай Обще же вси воздев руки наши принесем молитвы всеблагому Богу да низпосылает всегда Ангела своего на место сие изливая на оное целительную силу свою да сохраняет всегда дражайшее здравие Любезныя МАТЕРИ отечества и Возлюбленнаго СЫНА ЕЯ с Дражайшею СУПРУГОЮ и тем да прославляет сей Царствующий град чем прежде хвалился Иерусалим Аминь ,1 ,0
ваш,,ангел,А вы говорите пьеса В Москву правда Пайва привез ее добрый аналог спектакль Ангел Бродяга на кладбище ведет беседы с каменным ангелочком ,2 ,0
ваш,радужный,ангел,А выйдешь в сад погода чудесная воздух знойный небо такое синее-синее и так далеко раскинулось и нигде ни облачка И сладко задремлешь и забудешься под убаюкивающее веянье густой душистой черемухи в чаду восторженных нестройных грез и видится то далекий неведомый город то звездное небо то ангелы с радужными крылами а сладостная дремота как вор так и подкрадывается к отяжелевшим векам покуда резвый хохот подруг не выведет из этого сладкого полусна ,1 ,0
ваш,,ангел,А вы как полагаете ангел мой из гостей их хороших гостей стоющих Ты не думай ангел мой Ковырнева везде привечают Марья Григорьевна ,3 ,1
личный,,ангел,А выпив соответствующее количество спиртного стал нам это эссе читать вслух красивым бархатным голосом который всегда появлялся у него после принятия соответствующего количества спиртного Мы с восторгом слушали и твердо решили в журнале напечатать но вскоре во время обыска наши личные ангелы из КГБ Володя и Вадя конфисковали его вместе с другими материалами журнала И оно кануло в небытие так как Веня утверждал что отдал нам единственный экземпляр ,1 ,0
личный,,ангел,А вы устраивайтесь себе на кровати Нет это уж не модель ангел мой У меня здесь есть один коллега ,3 ,1
низкий,,ангел,А выше сего на самом верху ворот изображен на камне на педестале стоячий Образ Святаго Апостола Петра с держащими в руках ключами По сторонам сего Петра Святаго Образа по концам фронтошпица селят два Ангела с трубами Еще пониже сих Ангелов подле фронтошпица по сторонам же поставлены две статуи во образ жены одна содержит крест яко благочестие и книгу писанную Слово Божие другая содержит котву или якорь со цветом победителным яко крепость ,1 ,0
низкий,,ангел,А Гарасим ему вдогонку Ангел Городничий Ухватов по всей губернии славился своим бескорыстием ,3 ,1
низкий,сам,ангел,А главное дело девственность Знайте моя милая и навсегда сохраните в памяти слова мои девственность сближает нас с ангелами с самим даже богом а земная страстная любовь особенно брачная жизнь равняет с бессловесными скотами Плотская любовь корень греха девственность райские врата ,1 ,0
низкий,,ангел,А дальше Сам сообрази ангел Показывает старомодный московский демократизм отметил Самгин наблюдая из-под очков за публикой кое-кто посматривал на Лютова иронически ,3 ,1
низкий,божий,ангел,Адам был мужчиною равно как и женщиной но и не тем и не другим а девою исполненною целомудрия чистоты и непорочности как образ Божий он имел в себе и тинктуру огня и тинктуру света в слиянии которых покоилась любовь к себе как некий девственный центр как прекрасный райский розарий сад услад в котором он сам себ я любил чему и мы уподобимся по воскресении мертвых ибо по слову Христа там не женятся и не выходят замуж а живут подобно ангелам Божиим 127 ,1 ,0
низкий,,ангел,адвокатица в мир иной укатится а я и сам уже буду тереть негасимые краски из пигментов райского сада к тому времени Фальк поднимется в цене на сотни тысяч веселых евриков и уж это будет подлинный Фальк с натуральной историей И вот тогда ангел мой хранитель покровитель целой стаи белых голубок выпущенных моею рукой тогда пошли удачи в торгах на том далеком аукционе эксперту какого-нибудь достойного музея Он кивнул пареньку и тот направился к кассе выбивать счет ,1 ,0
низкий,,ангел,Ад где твоя победа Воскрес Христос и ты низвержен воскрес Христос и пали демоны воскрес Христос и радуются ангелы воскрес Христос и жизнь воцарилась св Иоанн Златоуст Не только грядущее озарено светом Пасхи ,1 ,0
